date,isHoliday,oilPrice
13/05/2017,TRUE,48.17333333
14/05/2017,TRUE,48.37
15/05/2017,FALSE,48.86
16/05/2017,FALSE,48.64
17/05/2017,FALSE,49.04
18/05/2017,FALSE,49.36
19/05/2017,FALSE,50.32
20/05/2017,FALSE,50.48333333
21/05/2017,FALSE,50.85333333
22/05/2017,FALSE,50.81
23/05/2017,FALSE,51.12
24/05/2017,TRUE,50.99
25/05/2017,FALSE,48.57
26/05/2017,TRUE,49.58
27/05/2017,FALSE,49.5925
28/05/2017,FALSE,49.605
29/05/2017,FALSE,49.6175
30/05/2017,FALSE,49.63
31/05/2017,FALSE,48.29
1/06/2017,FALSE,48.32
2/06/2017,FALSE,47.68
3/06/2017,FALSE,47.58666667
4/06/2017,FALSE,47.98
5/06/2017,FALSE,47.4
6/06/2017,FALSE,48.13
7/06/2017,FALSE,45.8
8/06/2017,FALSE,45.68
9/06/2017,FALSE,45.82
10/06/2017,FALSE,45.91333333
11/06/2017,FALSE,46.21333333
12/06/2017,FALSE,46.1
13/06/2017,FALSE,46.41
14/06/2017,FALSE,44.79
15/06/2017,FALSE,44.47
16/06/2017,FALSE,44.73
17/06/2017,FALSE,44.56666667
18/06/2017,FALSE,43.80333333
19/06/2017,FALSE,44.24
20/06/2017,FALSE,43.34
21/06/2017,FALSE,42.48
22/06/2017,FALSE,42.53
23/06/2017,FALSE,42.86
24/06/2017,FALSE,42.98666667
25/06/2017,FALSE,43.78666667
26/06/2017,FALSE,43.24
27/06/2017,FALSE,44.25
28/06/2017,FALSE,44.74
29/06/2017,FALSE,44.88
30/06/2017,FALSE,46.02
1/07/2017,FALSE,45.838
2/07/2017,FALSE,45.656
3/07/2017,FALSE,45.474
4/07/2017,FALSE,45.292
5/07/2017,FALSE,45.11
6/07/2017,FALSE,45.52
7/07/2017,FALSE,44.25
8/07/2017,FALSE,44.3
9/07/2017,FALSE,44.79
10/07/2017,FALSE,44.4
11/07/2017,FALSE,45.06
12/07/2017,FALSE,45.48
13/07/2017,FALSE,46.06
14/07/2017,FALSE,46.53
15/07/2017,FALSE,46.36
16/07/2017,FALSE,46.44333333
17/07/2017,FALSE,46.02
18/07/2017,FALSE,46.4
19/07/2017,FALSE,47.1
20/07/2017,FALSE,46.73
21/07/2017,FALSE,45.78
22/07/2017,FALSE,45.92333333
23/07/2017,FALSE,47.10666667
24/07/2017,FALSE,46.21
25/07/2017,FALSE,47.77
26/07/2017,FALSE,48.58
27/07/2017,FALSE,49.05
28/07/2017,FALSE,49.72
29/07/2017,FALSE,49.88333333
30/07/2017,FALSE,49.36666667
31/07/2017,FALSE,50.21
1/08/2017,FALSE,49.19
2/08/2017,FALSE,49.6
3/08/2017,FALSE,49.03
4/08/2017,FALSE,49.57
5/08/2017,FALSE,49.50333333
6/08/2017,FALSE,49.23666667
7/08/2017,FALSE,49.37
8/08/2017,FALSE,49.07
9/08/2017,FALSE,49.59
10/08/2017,TRUE,48.54
11/08/2017,TRUE,48.81
12/08/2017,FALSE,48.40333333
13/08/2017,FALSE,47.98333333
14/08/2017,FALSE,47.59
15/08/2017,FALSE,47.57
